kshiftrb
vpclmulhqlqdq
kandnw
punpcklqdq
mulsd
cmc
kshiftlw
fist
pmaxub
pmaddwd
xsha1
xlat
maxss
dec
gf2p8affineinvqb
cmpltps
korb
pfacc
pminsd
invlpga
popcnt
bndcl
faddp
vpperm
crc32
fdisi
kortestq
pabsb
xresldtrk
pmulhrsw
packusdw
retn
aesdec
blsi
psubsw
pushfq
db
ktestq
fucomi
cmp
wrussq
cmpnltsd
cmpnltss
psignw
ibts
vpshad
lss
vphaddubd
fcomip
vfmaddps
vpclmullqlqdq
dmint
paveb
kshiftr
jmpe
psubusw
mfence
lmsw
fsave
fldz
addsubps
fprem1
cmpnlesd
psadbw
xsavec
retfw
kxnor
punpckhdq
sha1nexte
swapgs
vfmsubsd
kortestd
dz
lfence
pfnacc
tdpbf16ps
lgs
divss
fclex
fdecstp
fcompp
outsw
cmpsd
pfrsqrt
xend
fiadd
fcos
fxch
aaa
haddps
jcc
popfw
pmulld
fmul
frstor
pinsrd
not
ror
vfmsubps
fistp
tileloadd
cvtdq2pd
sub
fchs
ffree
ud1
kortestb
imul
cmpnltps
vpmacssdqh
xadd
clts
kor
fisub
fincstp
idiv
addps
blsic
fprem
neg
cvtpd2dq
maxsd
pmaxsb
kaddd
por
xsusldtrk
ffreep
dd
scasw
knotw
adc
roundss
vfmaddpd
vpcomq
sqrtss
iretw
rsldt
sha1rnds4
ldmxcsr
into
lgdt
pushf
xrstors
pext
vprotw
pcmpestrm
phaddsw
equ
bsr
sbb
pinsrb
prefetcht1
wrfsbase
fucompp
vpcomuw
pconfig
kandnd
knotb
pshufw
cvtsi2ss
cmpeqsd
lsl
pclmulhqhqdq
blsmsk
vaesenclast
pmvnzb
shl
incbin
bsf
xorps
pmulhuw
cmplesd
fcomp
fxsave64
fxtract
retw
vphaddudq
fdiv
vpclmullqhqdq
monitorx
incsspq
pf2id
pextrb
xsetbv
cmpneqpd
vpshab
rdsspq
popfd
tdpbuud
psubq
pextrq
pf2iw
fpatan
vfnmaddsd
xsaveopt
pabsw
prefetcht0
jrcxz
insw
punpcklwd
packssdw
xcryptofb
psraw
pmulhriw
unpckhpd
pfadd
divps
psrlw
invd
pfrsqrtv
fldenv
paddsiw
bndcu
vpmacsdd
vpshlq
vpcomuq
knotd
finit
vphsubdq
kunpckdq
insertq
insb
aas
clwb
leave
kandnb
stosb
tpause
rdsspd
pmaxsd
psubb
pushfd
aeskeygenassist
pclmullqhqdq
rol
fimul
prefetchwt1
kand
invpcid
clflush
vpshlw
cmpps
pblendvb
kshiftl
fucom
vaesdeclast
cldemote
cpuid
pcmpeqq
cpu_write
fninit
vfnmsubpd
phminposuw
pmaxud
sldt
roundpd
pinsrw
punpcklbw
mulx
fscale
kxnorq
rorx
pmachriw
vpcomb
sahf
pminud
pdistib
mpsadbw
das
loop
pmullw
fbld
slwpcb
lodsd
psubusb
scasd
pshuflw
lodsb
paddw
dw
monitor
iret
pfcmpge
mulss
pause
prefetchw
pavgw
montmul
popa
serialize
enter
andnps
cdqe
fxam
unpckhps
endbr64
punpckhbw
iretd
jcxz
vfmaddsd
vprotb
pusha
cmppd
cvtdq2ps
retnd
kandd
clc
pavgb
bswap
shr
ktest
rdrand
pminsb
int03
pfrcpit1
cvtpi2pd
vprotq
retnq
bndmk
kortest
fsin
minpd
int3
bextr
lds
retf
vfrczps
pfmul
andnpd
wbinvd
scasb
fnstsw
resb
vaesdec
palignr
hlt
ftst
retnw
lar
cmpnlepd
pavgusb
kxorb
psignb
cvtpd2pi
kxord
tdpbusd
subpd
pmulhrwc
kandnq
blcfill
pmagw
cmpnleps
btc
lddqu
popf
scasq
wrussd
tdpbsud
pdep
psrad
wrshr
pswapd
pshufd
enqcmd
lfs
aesenc
vfnmsubsd
blsfill
comiss
cmpeqss
xsave64
kandb
cmpordss
vpclmulhqhqdq
lidt
cvttps2pi
fneni
outsb
xsha256
xcryptecb
bt
vphsubbw
cvtps2pd
bzhi
cld
kaddw
vpcomd
cvttsd2si
ldtilecfg
punpckhwd
packsswb
les
setcc
pfrcp
cmpxchg
vphaddwq
sarx
fsetpm
pcmpistri
stc
vpclmulqdq
vphadddq
sgdt
kxnorw
knotq
bndstx
cmpleps
verr
paddsb
shufpd
smintold
sysexit
invlpg
vfrczpd
psubsiw
pminsw
int01
pfpnacc
vphaddbd
xsaves64
endbr32
loopne
fldln2
cvtps2pi
vpshlb
roundsd
svdc
korq
vphaddbw
ficom
phaddd
fxrstor64
paddq
rdgsbase
pcmpistrm
add
pmvlzb
wrgsbase
blendps
rdm
xrstors64
minss
fidiv
wrpkru
stmxcsr
btr
vfmsubpd
cvttpd2pi
clflushopt
sti
pmaxuw
enqcmds
cmpunordps
pi2fd
resz
emms
cmplepd
inc
addss
vfmsubaddpd
xor
outsd
fxsave
fsqrt
ud2b
rdtscp
phsubd
haddpd
xbegin
loope
xsaveopt64
cvtss2sd
cmpltpd
pminub
vfnmsubss
blcic
fndisi
kxorq
rcpps
umonitor
cqo
andn
kandn
fldlg2
fsubrp
cvtpi2ps
vfmsubaddps
hsubps
kshiftrd
cmpxchg16b
xabort
prefetcht2
rsdc
out
arpl
pmaddubsw
svts
retfq
cmpnless
ucomiss
minsd
cvtsd2ss
blendpd
jmp
vpmacssww
blendvpd
lodsw
shrx
fstsw
fnstenv
cmpunordsd
psrldq
kshiftld
fsincos
pmuldq
incsspd
divpd
vpshld
aad
resq
vfmaddsubps
psllw
xgetbv
fsubp
vaesenc
psubw
lodsq
popfq
pcmpeqw
kunpckbw
phsubw
fst
xbts
kxnord
sqrtpd
fbstp
loadall286
sidt
xsave
shld
lldt
aesdeclast
xcryptcbc
shrd
cmpunordss
vfmaddsubpd
fptan
psrld
pshufb
xlatb
xstore
fld
sysret
fldl2t
vphsubwd
push
pfsub
clrssbsy
prefetch
comisd
cwd
rcr
kunpck
ud2a
ktestd
or
lwpval
lwpins
vfrczsd
sal
fstcw
gf2p8affineqb
subss
fnclex
pxor
daa
maxps
tilezero
cmpunordpd
bound
cvtsd2si
pmaxsw
adox
kadd
smint
skinit
wrmsr
vpmadcswd
ktestb
tzmsk
cmpneqss
pcmpeqd
mulps
tileloaddt1
cmpltsd
bb0_reset
ud0
fldcw
vpmacsdql
sqrtsd
psrlq
fisttp
andps
umwait
pinsrq
kunpckwd
orps
vprotd
pushad
bndldx
pfmax
do
vpcomub
call
rdseed
paddusw
xrstor
fldpi
resd
salc
sfence
vphaddwd
vfnmaddss
ficomp
fyl2xp1
pclmulhqlqdq
pmvzb
pi2fw
in
subsd
fdivrp
addsubpd
cvtps2dq
tilerelease
pcmpgtq
fabs
mul
vfnmaddpd
rdtsc
insertps
popad
pfrcpit2
clgi,stgi,vmcall,vmclear,vmfunc,vmlaunch,vmload,vmmcall,vmptrld,vmptrst,vmread,vmresume,vmrun,vmsave,vmwrite,vmxoff,vmxon,invept,invvpid,vmclear
vgatherqps,vcmpfalse_osps,vpcmpw,vunpcklps,vaddsubpd,vextractf64x2,vpminsb,vplzcntq,vcmpge_ossd,vcmpnlt_uspd,vpxord,vcvtss2sd,vpinsrw,vphaddd,vfmaddsub213ps,vfmsub231ss,vpcmpgtb,vcvtsi2sd,vpgatherqq,vfnmadd132pd,vcmpnltpd,vinserti64x4,vpandq,vcvtps2qq,vcmpneq_uspd,vcmpltss,vscatterpf0dps,vcmpneq_uqss,vpcmpnleub,vcvtpd2qq,vbroadcasti32x8,vpcmpleq,vprolq,vmulpd,vpcmpngtq,vcmpunordsd,vpcmpltb,vpcmpnequb,vcmpeq_ospd,vroundss,vcmpunord_qps,vp2intersectd,vcmpeqpd,vcmplt_oqps,vcmptrue_ussd,vpshldd,vinserti32x8,vscatterdps,vpcmpngtuw,vsubsd,vucomiss,vcmpneq_ussd,vpcmpgeq,vpsrlvw,vgatherpf0dpd,vpscatterdq,vcmpfalse_oqsd,vinsertf32x8,vcmpnlt_uqpd,vcmptrue_uqsd,vroundps,vcmpngt_usss,vcmpltsd,vscalefsd,v4fmaddss,vcmpeq_oqss,vhsubps,vgatherpf0qps,vaddss,vfnmsub213ps,vcvtudq2pd,vcmptrue_uqss,vshufi32x4,vpcmpgtw,vpminud,vcmpnge_ussd,vpcmpgeud,vpshrdw,vpmaxuw,vpcmpltuw,vtestps,vcvtqq2pd,vcmpordss,vcmpneq_uqps,vcmpgtpd,vpaddusb,vpxorq,vpshldq,vcmpord_sps,vblendvps,vpminsq,vphaddsw,vfmadd231sd,vsqrtpd,vscalefss,vscatterpf0dpd,vaddsd,vfmaddsub132pd,vfnmsub132ss,vpunpcklqdq,vfmadd231pd,vscatterqpd,vpcmpgew,vpalignr,vcvtss2si,vcmple_ossd,vminss,vpermilps,vfnmsub231pd,vrcpps,vpmaxsd,vfpclasssd,vfmsubadd231pd,vfmsub132ss,vroundsd,vcvtss2usi,vbroadcastsd,vfmsub213sd,vandnps,vcmpgtps,vpaddsb,vextractf32x4,vcmpgt_osss,vdppd,vcmpord_ssd,vpshrdvq,vphaddw,vcmpnge_uqss,vroundpd,vfmaddsub132ps,vgf2p8affineinvqb,vgetmantps,vdpps,vpavgb,vcmpfalsesd,vshufpd,vsqrtps,vscatterpf1dps,vcmpneq_osss,vcmpeqps,vpinsrb,vcmpneq_uqsd,vcmpngt_uqsd,vcomiss,vextractps,vcmpge_oqss,vpmaddubsw,vscalefpd,vpcmpltub,vcmpnlt_usps,vpextrb,vbroadcasti64x4,vcmptruepd,vshufps,vextractf64x4,vpsubq,vprorvq,vcmplt_ossd,vcmpeq_osps,vcmpnge_usss,vaesdeclast,vfnmadd231sd,vfmadd213ps,vcmpgess,vcmpord_qpd,vcmpfalse_ossd,vfpclassss,vfnmadd132ss,vfmsub231ps,vexp2pd,vcvtusi2sd,vpblendvb,vandpd,vcmpneq_usps,vcvttsd2usi,vsqrtsd,vpcmpud,vpcmpgeuw,vpshldvq,vfmadd213pd,vcmpfalse_ospd,vcmpordsd,vperm2f128,vcvtpd2uqq,vcomisd,vcvtqq2ps,vscatterpf1dpd,vextracti64x2,vpunpckldq,vdbpsadbw,vcmpeq_uqps,vprolvq,vtestpd,vpcmpestrm,vcmpnle_ussd,vprold,vpsignd,vcmpge_oqps,vcmpgt_osps,vpcmpeqq,vprolvd,vpcmpgeuq,vpsubsb,vfnmadd231pd,vmaxss,vcvtph2ps,vpackusdw,vcmpeq_usss,vextractf128,vcmpltps,vcmpeq_uspd,vldqqu,vcmpord_qsd,vdpbf16ps,vpcmpeqd,vcmpnle_uqpd,vfpclassps,vrndscaleps,vfnmsub132ps,vpcmpestri,vinserti64x2,vcmplt_oqpd,vcmplt_ospd,vcmpneqss,vcmpngt_uqpd,vcmpge_oqpd,vpcmpleub,vpsllvq,vgetexpsd,vphsubw,vpconflictd,v4fmaddps,vrndscalesd,vcmpeq_ossd,vpshufd,vfnmsub213sd,vcmpngtps,vpcmpleuq,vptestmw,vcmpngtss,vcmplt_osps,vbroadcastf32x8,vpscatterqd,vpcmpneqw,vpgatherdd,vzeroupper,vpshrdd,vpclmulqdq,vextracti32x4,vdivsd,vpmaxsb,vpexpandq,vunpckhpd,vptestmd,vunpckhps,vpsrad,vpmaxsq,vbroadcastf64x2,vsubps,vfixupimmpd,vgf2p8mulb,vgatherpf1dps,vcmpeq_uqpd,vpcmpltw,vexp2ps,vblendvpd,vreduceps,vgatherdpd,vcmpnle_uqss,vpcmpnleud,vcvtudq2ps,vpunpcklbw,vfmsubadd132pd,vpinsrq,vcmpeq_uqss,vextracti32x8,vcmpunord_qsd,vpminsd,vpaddq,vpcmpneqd,vreducesd,vgatherpf1dpd,vshuff32x4,vpcmpngtb,vscatterpf1qps,vpexpandb,vrsqrt14ss,vpsrlvq,vpermi2q,vpsrlvd,vcmptruesd,vsqrtss,vfnmsub213ss,vpconflictq,vrndscaless,vpdpbusd,vmaxsd,vcmpnge_uspd,vpsubw,vgatherpf1qps,vpcmpuw,vpsubsw,vbroadcastss,vcmpngt_usps,vfmadd213ss,vfnmadd213sd,vpbroadcastq,vfnmsub132pd,vmulss,vpsraq,vfixupimmps,vcmpfalsepd,vpclmulhqhqdq,vcmpunord_qss,vfmadd132pd,vptestnmd,vcmpneq_osps,vpermt2d,vcmpnle_usss,vpcompressd,vcmpfalseps,vpsubusb,vcmptrue_usss,vexpandps,vfmsubadd213pd,vcmpgt_oqpd,vbroadcastf64x4,vaddsubps,vblendps,vpmullw,vpsravw,vxorps,vpcmpequq,vlddqu,vpcmpngtd,vdivpd,vpdpwssds,vfmsub132ps,vinsertps,vrsqrt14sd,vcmpgeps,vcmpnlt_ussd,vpermi2d,vfmsub213pd,vpshuflw,vpshufhw,vcmpunord_sss,vcmptrueps,vpsravd,vcvtps2uqq,vcmpord_sss,vpblendmd,vsubpd,vpmaxsw,vcvttsd2si,vptestnmb,vcmpnltps,vpopcntw,vpaddb,vaesenc,vrcp14sd,vextractf32x8,vgatherqpd,vpunpckhwd,vcmptrue_uqpd,vgetexpps,vpcmpequw,vblendmps,vbroadcastf128,vfixupimmss,vpermt2q,vaddpd,vpcmpgtub,vpabsw,vcmpnlt_uqsd,vcmptrue_uspd,vpmulhw,vpcmpltq,vcmplt_oqss,vpmaxuq,vpandn,vminps,vgetmantpd,v4dpwssds,vunpcklpd,vfmadd132sd,valignq,vcmpsd,vhsubpd,vpcmpged,vpcmpnleb,vpmulhuw,vpermd,vpminuw,vpcmpnltuw,vpshldvw,vrsqrt28ss,vpcmpnled,vfnmadd213ps,vpermi2pd,vandnpd,vpmuludq,vcvttpd2uqq,vpcmpleud,vcompresspd,v4fnmaddps,vcvttss2usi,vcvtsd2si,vpunpcklwd,vpbroadcastw,vpaddd,vpcmpistri,vcmpnge_usps,vpsubusw,vcmpfalsess,vpcmpgeb,vpexpandd,vminpd,vpermt2pd,vcvtpd2dq,vpdpbusds,vfmsubadd132ps,vcmpnltss,vpcmpnequd,vcmpord_qss,vfmadd231ps,vfpclasspd,vpaddusw,vpmuldq,vsubss,vcmpngeps,vfnmadd213pd,vscatterqps,vbroadcastf32x4,vblendpd,vfnmsub213pd,vinserti32x4,vcmppd,vcmpngess,vpermps,vpminub,vpshrdvw,vcmpgt_ospd,vcmpneqps,vcmpunordps,vpcmplew,vpcompressq,v4dpwssd,vptest,vpandnq,vcvttps2udq,vldmxcsr,vbroadcasti32x2,vgatherdps,vpcmpeqw,vcmpgepd,vaesimc,vcmpordps,vrsqrt28sd,vcmpgtss,vpsraw,vpternlogd,vrsqrt28pd,vcvtne2ps2bf16,vpshufb,vpscatterqq,vpcmpistrm,vpbroadcastd,vphsubsw,vpminsw,vpsravq,vcmpneq_oqpd,vpermt2ps,vcvtdq2ps,vcompressps,vpcmpleuw,vpcmpub,vrsqrt14ps,vcvtusi2ss,vpcmpngtuq,vpsllvd,vcmpps,vscatterpf0qps,vpsignb,vgf2p8affineqb,vpcmpd,vmulps,vpshufbitqmb,vcmpnlt_uqss,vcmpless,vpcompressb,vcmple_oqsd,vpackuswb,vpcmpgtd,vcmpge_osps,vpabsb,vfnmadd132sd,vpcmpltud,vpcmpnequw,vcmpss,vrsqrtps,vcmpnle_uqps,vfnmsub231ss,vcmple_oqss,vcvtps2ph,vcmpeq_uqsd,vpcmpnltq,vpcmpq,vpandd,vpermi2ps,vbroadcasti128,vinsertf128,vpmaddwd,vmulsd,vpmadd52huq,vplzcntd,vrcp28sd,vcmpneq_oqss,vscatterpf0qpd,vpsubb,vpclmullqlqdq,vpcmpgtuw,vcmpnle_usps,vpshldvd,vcmpneq_oqps,vpsrlw,vpabsq,vpmaxud,vcvtps2dq,vminsd,vpermpd,vcmpunordss,vgatherpf1qpd,vpsllw,vpslld,vpmullq,vpackssdw,vcvttpd2udq,vpextrd,vcmpnge_uqps,vpcmpnltd,vpcmpneqq,vpcompressw,vpcmpngtw,vpermi2b,vpshldw,vinsertf64x4,vpcmpled,vcmpeq_ussd,vpunpckhbw,vpextrw,vgetexppd,vcmpordpd,vcmpge_ospd,vfmsub213ss,vgatherpf0dps,vpcmpneqb,vrangess,vorps,vpshrdvd,vpor,vcmpeq_oqps,vpbroadcastmw2d,vcmpneq_ossd,vrsqrt28ps,vpcmpb,vpermq,vcvttpd2dq,vgetexpss,vfmsubadd213ps,vfmadd132ss,vpcmpgtq,vscatterpf1qpd,vcmpnle_uqsd,vcvtdq2pd,vpavgw,vcmpngepd,vcmpgt_ossd,vpmaxub,vgatherpf0qpd,vcvtpd2ps,vrcp14ss,vcmpnlepd,vpsllvw,vcmpnlt_usss,vcmpge_osss,vpcmpeqb,vcmpneq_oqsd,vcmpeq_osss,vpcmpgtuq,vpcmpngtub,vcmple_osps,vpmulhrsw,vcmpngt_uqss,vcmpord_qps,vpternlogq,vcmptrue_uqps,vcmpunord_sps,vcmpngtpd,vreducess,vpopcntb,vcvttps2dq,vpbroadcastb,vhaddpd,vcmptruess,vpopcntq,vpgatherqd,vfmaddsub231ps,vpermb,vcvtuqq2ps,vcmpneqsd,vprorq,vxorpd,vcmpgesd,vpcmpltuq,vpord,vfmsub231sd,vcmpnge_uqsd,vpinsrd,vcmple_ospd,vcmplesd,vcmpfalse_oqps,vrcp28pd,vpcmpuq,vpabsd,vfmaddsub213pd,vcmpltpd,vcmpeq_oqpd,vcvttps2qq,valignd,vfmsub231pd,vcmpnless,vscatterdpd,vpextrq,vmaxps,vcmpeqss,vcmpnltsd,vphminposuw,vinserti128,vrangepd,vpgatherdq,vrcp14pd,vcmptrue_usps,vpermt2b,vfnmadd213ss,vpsrldq,vpermt2w,vpsignw,vpsubd,vcmpneqpd,vpcmpnltub,vcmplt_oqsd,vptestmq,vcmple_oqpd,vphsubd,vblendmpd,vrcpss,vpcmpleb,vreducepd,vcmpneq_ospd,vcvtps2pd,vcvtsd2usi,vpunpckhdq,vdivss,vrndscalepd,vpopcntd,vcmpngesd,vpslldq,vcvttps2uqq,vcmpngt_ussd,vpcmpnltw,vpandnd,vfnmsub231sd,vpcmpequb,vpshrdq,vandps,vpcmpnltud,vptestmb,vcmpunord_ssd,vhaddps,vpcmpnltb,vpblendw,vfixupimmsd,vpcmpnltuq,vpcmpnleq,vcmpnle_uspd,vshuff64x2,vcvttpd2qq,vcmpgt_oqsd,vcvtps2udq,vpsllq,vpunpckhqdq,vrsqrtss,vrcp28ps,vcmpeq_usps,vpermilpd,vfmaddsub231pd,vmpsadbw,vgetmantsd,vcmpunordpd,vshufi64x2,vexpandpd,vpscatterdd,vcvtsd2ss,vpbroadcastmb2q,vcmpgtsd,vrangesd,vpcmpgtud,vcmpnlt_uqps,vcmple_osss,vfmsub213ps,vcmpnge_uqpd,vpcmpequd,vfmadd132ps,vfnmadd132ps,vcmpnleps,vucomisd,vcmplepd,vextracti128,vpsrld,vrcp14ps,vpcmpltd,vrsqrt14pd,vpand,vgetmantss,vpcmpnlew,vcvtsi2ss,vpblendd,vpacksswb,vcmple_oqps,vpaddsw,vcmpneq_usss,v4fnmaddss,vfmsub132sd,vpcmpgeub,vcmpgt_oqps,vpsadbw,vpcmpnleuw,vpblendmq,vfnmsub132sd,vpmulld,vorpd,vpclmulhqlqdq,vaddps,vzeroall,vrangeps,vcmpord_spd,vfmsubadd231ps,vinsertf64x2,vpermw,vpcmpnequq,vprord,vfnmadd231ss,vpmultishiftqb,vcmpeqsd,vporq,vfmsub132pd,vcmpnlesd,vcmpge_oqsd,vcmplt_osss,vcmpgt_oqss,vpblendmb,vscalefps,vpblendmw,vcmpngt_uspd,vfmadd213sd,vpcmpngtud,vcmpneq_uqpd,vbroadcasti64x2,vpclmullqhqdq,vpxor,vcvtuqq2pd,vptestnmq,vcmpngtsd,vcmpfalse_oqss,vbroadcasti32x4,vcmpunord_spd,vpermi2w,vaeskeygenassist,vrcp28ss,vpsrlq,vcvtpd2udq,vcmpfalse_osss,vpmadd52luq,vstmxcsr,vdivps,vperm2i128,vpminuq,vpdpwssd,vcmpfalse_oqpd,vcmpeq_oqsd,vfnmadd231ps,vaesdec,vcvttss2si,vfnmsub231ps,vprorvd,vinsertf32x4,vextracti64x4,vfmadd231ss,vcmpleps,vmaxpd,vaesenclast,vpaddw,vcmpngt_uqps,vptestnmw,vcmpunord_qpd,vpcmpnleuq,vpexpandw,vbroadcastf32x2
vfmadd123sd,vfmaddsub312ps,vfnmsub123ps,vfnmadd321ps,vfnmsub231ps,vfnmadd312ss,vfnmadd321pd,vfnmsub213sd,vfmsub132ps,vfmaddsub132pd,vfnmadd132ss,vfmsub213ps,vfmadd312sd,vfmsubadd132pd,vfmadd312ss,vfmsubadd213ps,vfmsub321ss,vfmaddsub123ps,vfmsub132ss,vfmaddsub213pd,vfnmadd312pd,vfmsub231pd,vfmaddsub321ps,vfnmsub321pd,vfnmadd123pd,vfmsubadd231pd,vfmadd231pd,vfnmsub321sd,vfnmadd213ss,vfnmadd321sd,vfnmadd123sd,vfmsub123ps,vfmadd132pd,vfnmsub213pd,vfnmadd231sd,vfmadd321ps,vfnmsub231pd,vfmsub312sd,vfnmsub321ss,vfmsub123pd,vfmsub312ps,vfmaddsub123pd,vfnmadd312sd,vfmadd132ss,vfnmadd231ss,vfnmadd231ps,vfmadd321sd,vfmsubadd321pd,vfnmadd132sd,vfmadd321ss,vfmsub321pd,vfmadd132sd,vfmaddsub231pd,vfmadd231ss,vfmadd132ps,vfmsub321sd,vfnmsub132ss,vfmsub231ss,vfmsub213pd,vfmadd231ps,vfnmsub312ps,vfnmadd123ps,vfmsubadd312pd,vfmadd123pd,vfmadd123ps,vfmsub312ss,vfnmsub321ps,vfmsubadd213pd,vfmsub123sd,vfmsubadd312ps,vfmsubadd123pd,vfmsub231sd,vfnmsub132pd,vfmadd123ss,vfnmadd231pd,vfmsub321ps,vfmsub132sd,vfmsubadd123ps,vfmsub231ps,vfmadd321pd,vfnmadd312ps,vfnmsub312sd,vfmadd213ss,vfnmsub213ss,vfmadd231sd,vfmaddsub213ps,vfnmsub213ps,vfmsubadd231ps,vfmsub132pd,vfmaddsub231ps,vfmadd312pd,vfnmadd321ss,vfnmsub231ss,vfnmadd132pd,vfmsub123ss,vfmadd213sd,vfnmadd123ss,vfnmsub132sd,vfnmadd132ps,vfmsub213sd,vfnmadd213pd,vfnmsub312pd,vfmsub213ss,vfnmsub123sd,vfmsubadd132ps,vfnmsub231sd,vfmsub312pd,vfmaddsub132ps,vfnmadd213sd,vfmaddsub312pd,vfnmsub123pd,vfnmadd213ps,vfmadd213pd,vfmsubadd321ps,vfnmsub132ps,vfnmsub312ss,vfmaddsub321pd,vfmadd312ps,vfmadd213ps,vfnmsub123ss
